Test Name,MyISAM Total Time,MyISAM Start Transfer Time,,InnoDB Total Time,InnoDB Start Transfer Time
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Month-usr,0.063444,0.063438,,0.057852,0.057842
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Quarter-cd,0.062128,0.062115,,0.054154,0.054151
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Quarter-cs,0.060113,0.06011,,0.06163,0.061627
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Quarter-pi,0.062146,0.062141,,0.064711,0.064707
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Quarter-public,0.058461,0.058456,,0.058915,0.058904
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Quarter-usr,0.064205,0.064201,,0.057149,0.057147
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Year-cd,0.059654,0.059649,,0.054473,0.05447
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Year-cs,0.058649,0.058644,,0.059998,0.059995
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Year-pi,0.06317,0.063166,,0.065513,0.06551
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Year-public,0.057974,0.057947,,0.058852,0.058849
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Year-usr,0.064265,0.064243,,0.05757,0.057568
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Day-cd,0.072336,0.072333,,0.063138,0.063134
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Day-cs,0.070786,0.070781,,0.067837,0.067789
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Day-pi,0.073184,0.073181,,0.072934,0.07293
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Day-public,0.073142,0.073137,,0.066174,0.066169
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Day-usr,0.078943,0.078938,,0.070367,0.070363
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Month-cd,0.064724,0.064721,,0.059691,0.059686
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Month-cs,0.062565,0.062561,,0.063808,0.063804
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Month-pi,0.064282,0.064278,,0.069388,0.069384
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Month-public,0.067738,0.067733,,0.064347,0.064343
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Month-usr,0.068695,0.068691,,0.067315,0.067312
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Quarter-cd,0.066028,0.066025,,0.061277,0.061273
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Quarter-cs,0.063842,0.063837,,0.065615,0.065611
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Quarter-pi,0.064315,0.064311,,0.068473,0.068468
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Quarter-public,0.068968,0.068963,,0.063648,0.063644
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Quarter-usr,0.072858,0.072853,,0.068669,0.068666
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Year-cd,0.065934,0.065931,,0.061346,0.061341
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Year-cs,0.063574,0.06357,,0.065355,0.065351
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Year-pi,0.065161,0.065156,,0.069484,0.06948
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Year-public,0.068541,0.068536,,0.062765,0.062762
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Year-usr,0.068795,0.06879,,0.067592,0.067589
Cloud/configuration/cloud_core_time/aggregate-Day-cd,0.062492,0.062485,,0.055756,0.055753
Cloud/configuration/cloud_core_time/aggregate-Day-cs,0.058414,0.058411,,0.061057,0.061054
Cloud/configuration/cloud_core_time/aggregate-Day-pi,0.07403,0.074026,,0.065913,0.065911
Cloud/configuration/cloud_core_time/aggregate-Day-public,0.063866,0.063839,,0.0575,0.057497
Cloud/configuration/cloud_core_time/aggregate-Day-usr,0.070665,0.070661,,0.057244,0.05724
Cloud/configuration/cloud_core_time/aggregate-Month-cd,0.056572,0.056565,,0.053751,0.053747
Cloud/configuration/cloud_core_time/aggregate-Month-cs,0.052835,0.052831,,0.059234,0.059231
Cloud/configuration/cloud_core_time/aggregate-Month-pi,0.069776,0.069772,,0.065509,0.065503
Cloud/configuration/cloud_core_time/aggregate-Month-public,0.05821,0.058205,,0.056003,0.055991
Cloud/configuration/cloud_core_time/aggregate-Month-usr,0.063312,0.063308,,0.055484,0.055481
Cloud/configuration/cloud_core_time/aggregate-Quarter-cd,0.055228,0.055224,,0.053911,0.053909
Cloud/configuration/cloud_core_time/aggregate-Quarter-cs,0.05326,0.053257,,0.059182,0.059161
Cloud/configuration/cloud_core_time/aggregate-Quarter-pi,0.067548,0.067543,,0.064361,0.064358
Cloud/configuration/cloud_core_time/aggregate-Quarter-public,0.059258,0.059254,,0.057263,0.057259
Cloud/configuration/cloud_core_time/aggregate-Quarter-usr,0.06317,0.063166,,0.056568,0.056565
Cloud/configuration/cloud_core_time/aggregate-Year-cd,0.056508,0.056504,,0.054525,0.054522
Cloud/configuration/cloud_core_time/aggregate-Year-cs,0.054118,0.054115,,0.058251,0.058248
Cloud/configuration/cloud_core_time/aggregate-Year-pi,0.069452,0.069448,,0.064932,0.064929
Cloud/configuration/cloud_core_time/aggregate-Year-public,0.060686,0.060682,,0.056899,0.056895
Cloud/configuration/cloud_core_time/aggregate-Year-usr,0.063817,0.063813,,0.057279,0.057277
Cloud/configuration/cloud_core_time/timeseries-Day-cd,0.0719,0.071896,,0.069131,0.069128
Cloud/configuration/cloud_core_time/timeseries-Day-cs,0.07087,0.070867,,0.064014,0.06401
Cloud/configuration/cloud_core_time/timeseries-Day-pi,0.071678,0.071674,,0.075939,0.075932
Cloud/configuration/cloud_core_time/timeseries-Day-public,0.07288,0.072875,,0.071642,0.071638
Cloud/configuration/cloud_core_time/timeseries-Day-usr,0.075743,0.07574,,0.071238,0.071235
Cloud/configuration/cloud_core_time/timeseries-Month-cd,0.065251,0.065247,,0.065815,0.065812
Cloud/configuration/cloud_core_time/timeseries-Month-cs,0.061887,0.061884,,0.060796,0.060792
Cloud/configuration/cloud_core_time/timeseries-Month-pi,0.064405,0.064402,,0.071905,0.071899
Cloud/configuration/cloud_core_time/timeseries-Month-public,0.062717,0.062713,,0.068891,0.068887
Cloud/configuration/cloud_core_time/timeseries-Month-usr,0.067623,0.06762,,0.068004,0.068001
Cloud/configuration/cloud_core_time/timeseries-Quarter-cd,0.06613,0.066126,,0.067144,0.067141
Cloud/configuration/cloud_core_time/timeseries-Quarter-cs,0.064876,0.064871,,0.060368,0.060365
Cloud/configuration/cloud_core_time/timeseries-Quarter-pi,0.068531,0.068527,,0.071793,0.071789
Cloud/configuration/cloud_core_time/timeseries-Quarter-public,0.063086,0.063081,,0.067402,0.067399
Cloud/configuration/cloud_core_time/timeseries-Quarter-usr,0.068686,0.068683,,0.068672,0.06867
Cloud/configuration/cloud_core_time/timeseries-Year-cd,0.064501,0.064497,,0.068505,0.068502
Cloud/configuration/cloud_core_time/timeseries-Year-cs,0.063651,0.063647,,0.060638,0.060633
Cloud/configuration/cloud_core_time/timeseries-Year-pi,0.077814,0.077811,,0.071718,0.071714
Cloud/configuration/cloud_core_time/timeseries-Year-public,0.064369,0.064364,,0.068251,0.068244
Cloud/configuration/cloud_core_time/timeseries-Year-usr,0.067363,0.067359,,0.068396,0.068393
Cloud/configuration/cloud_core_utilization/aggregate-Day-cd,0.063831,0.063828,,0.057422,0.057418
Cloud/configuration/cloud_core_utilization/aggregate-Day-cs,0.063826,0.063823,,0.06106,0.061037
Cloud/configuration/cloud_core_utilization/aggregate-Day-pi,0.075928,0.075923,,0.068374,0.068372
Cloud/configuration/cloud_core_utilization/aggregate-Day-public,0.068716,0.068694,,0.058015,0.058008
Cloud/configuration/cloud_core_utilization/aggregate-Day-usr,0.065937,0.065934,,0.064158,0.064155
Cloud/configuration/cloud_core_utilization/aggregate-Month-cd,0.057065,0.057058,,0.055364,0.055361
Cloud/configuration/cloud_core_utilization/aggregate-Month-cs,0.055742,0.055739,,0.05933,0.059318
Cloud/configuration/cloud_core_utilization/aggregate-Month-pi,0.066885,0.06688,,0.067535,0.067528
Cloud/configuration/cloud_core_utilization/aggregate-Month-public,0.061317,0.061313,,0.055264,0.055256
Cloud/configuration/cloud_core_utilization/aggregate-Month-usr,0.066373,0.066367,,0.060715,0.060706
Cloud/configuration/cloud_core_utilization/aggregate-Quarter-cd,0.056031,0.056028,,0.054604,0.054601
Cloud/configuration/cloud_core_utilization/aggregate-Quarter-cs,0.056924,0.056921,,0.059636,0.059633
Cloud/configuration/cloud_core_utilization/aggregate-Quarter-pi,0.066767,0.066762,,0.064865,0.064859
Cloud/configuration/cloud_core_utilization/aggregate-Quarter-public,0.060306,0.060302,,0.056588,0.056582
Cloud/configuration/cloud_core_utilization/aggregate-Quarter-usr,0.067171,0.067169,,0.059332,0.059329
Cloud/configuration/cloud_core_utilization/aggregate-Year-cd,0.058297,0.058293,,0.056165,0.056146
Cloud/configuration/cloud_core_utilization/aggregate-Year-cs,0.05898,0.058977,,0.060137,0.060135
Cloud/configuration/cloud_core_utilization/aggregate-Year-pi,0.068838,0.068834,,0.06719,0.067172
Cloud/configuration/cloud_core_utilization/aggregate-Year-public,0.061303,0.061299,,0.060337,0.060333
Cloud/configuration/cloud_core_utilization/aggregate-Year-usr,0.065914,0.06591,,0.06101,0.061006
Cloud/configuration/cloud_core_utilization/timeseries-Day-cd,0.086742,0.086738,,0.08395,0.083943
Cloud/configuration/cloud_core_utilization/timeseries-Day-cs,0.087398,0.087394,,0.08191,0.081889
Cloud/configuration/cloud_core_utilization/timeseries-Day-pi,0.095131,0.095128,,0.091633,0.091628
Cloud/configuration/cloud_core_utilization/timeseries-Day-public,0.073623,0.073613,,0.075129,0.075124
Cloud/configuration/cloud_core_utilization/timeseries-Day-usr,0.092342,0.092337,,0.085818,0.085815
Cloud/configuration/cloud_core_utilization/timeseries-Month-cd,0.067616,0.067613,,0.065334,0.065331
Cloud/configuration/cloud_core_utilization/timeseries-Month-cs,0.067476,0.067473,,0.061659,0.061655
Cloud/configuration/cloud_core_utilization/timeseries-Month-pi,0.07167,0.071663,,0.071285,0.071281
Cloud/configuration/cloud_core_utilization/timeseries-Month-public,0.078404,0.078401,,0.083079,0.083075
Cloud/configuration/cloud_core_utilization/timeseries-Month-usr,0.068525,0.068521,,0.068968,0.068965
Cloud/configuration/cloud_core_utilization/timeseries-Quarter-cd,0.067408,0.067403,,0.066522,0.066519
Cloud/configuration/cloud_core_utilization/timeseries-Quarter-cs,0.067116,0.067112,,0.062456,0.062452
Cloud/configuration/cloud_core_utilization/timeseries-Quarter-pi,0.070799,0.070795,,0.073661,0.073657
Cloud/configuration/cloud_core_utilization/timeseries-Quarter-public,0.069764,0.06976,,0.069311,0.069307
Cloud/configuration/cloud_core_utilization/timeseries-Quarter-usr,0.068646,0.068642,,0.072312,0.072308
Cloud/configuration/cloud_core_utilization/timeseries-Year-cd,0.067305,0.067298,,0.066481,0.066478
Cloud/configuration/cloud_core_utilization/timeseries-Year-cs,0.068965,0.068961,,0.064682,0.064658
Cloud/configuration/cloud_core_utilization/timeseries-Year-pi,0.073362,0.073358,,0.07474,0.074736
Cloud/configuration/cloud_core_utilization/timeseries-Year-public,0.071653,0.07165,,0.07016,0.070156
Cloud/configuration/cloud_core_utilization/timeseries-Year-usr,0.069343,0.069312,,0.071407,0.071397
Cloud/configuration/cloud_num_sessions_ended/aggregate-Day-cd,0.066286,0.06628,,0.063376,0.063373
Cloud/configuration/cloud_num_sessions_ended/aggregate-Day-cs,0.071456,0.07142,,0.0587,0.058698
Cloud/configuration/cloud_num_sessions_ended/aggregate-Day-pi,0.078072,0.078026,,0.065337,0.06533
Cloud/configuration/cloud_num_sessions_ended/aggregate-Day-public,0.066685,0.066683,,0.065262,0.06526
Cloud/configuration/cloud_num_sessions_ended/aggregate-Day-usr,0.072065,0.072062,,0.061282,0.061279
Cloud/configuration/cloud_num_sessions_ended/aggregate-Month-cd,0.054765,0.054759,,0.059226,0.059223
Cloud/configuration/cloud_num_sessions_ended/aggregate-Month-cs,0.05611,0.056106,,0.05709,0.057087
Cloud/configuration/cloud_num_sessions_ended/aggregate-Month-pi,0.067444,0.067441,,0.062379,0.062375
Cloud/configuration/cloud_num_sessions_ended/aggregate-Month-public,0.062009,0.062007,,0.059882,0.05988
Cloud/configuration/cloud_num_sessions_ended/aggregate-Month-usr,0.060225,0.060222,,0.056666,0.056663
Cloud/configuration/cloud_num_sessions_ended/aggregate-Quarter-cd,0.054377,0.054372,,0.058725,0.058723
Cloud/configuration/cloud_num_sessions_ended/aggregate-Quarter-cs,0.058067,0.058063,,0.058602,0.058599
